Model,dataset,Attack,Attack_type,iterations,eps,alpha,Clean_Acc,Clean_Top5,Robust_Acc,Robust_Top5,Time
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.47500000000000003,0.741796875,5.726548910140991
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.147265625,0.3337890625,6.494611740112305
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.0693359375,0.1951171875,6.605642795562744
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.06171875,0.15625,6.347324848175049
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.047265625000000006,0.1400390625,6.5574469566345215
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.044921875,0.12304687500000001,6.654601097106934
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,3,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.0384765625,0.1142578125,6.647187948226929
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.2734375,0.5064453125,16.543431282043457
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.0259765625,0.09824218750000001,16.525159120559692
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.025,0.07773437500000001,16.285194158554077
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.011914062500000001,0.0501953125,16.19172239303589
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.00859375,0.040625,16.522764444351196
convnext_tiny,imagenet1k,CosPGD_alpha,NON-targeted,5,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.005859375,0.030664062500000002,16.241449117660522
