Model,dataset,Attack,Attack_type,iterations,eps,alpha,Clean_Acc,Clean_Top5,Robust_Acc,Robust_Top5,Time
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.7482421875,0.937109375,37.0703125
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.5625,0.845703125,37.2360360622406
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.43359375,0.7619140625,38.16636514663696
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.384765625,0.69765625,38.09525537490845
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.373046875,0.7166015625000001,37.53205990791321
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.3525390625,0.6878906250000001,37.90088200569153
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,3,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.3466796875,0.6888671875,37.967581033706665
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.000392156862745,0.81484375,0.958203125,0.6701171875,0.9060546875000001,47.96668839454651
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.0011764705882350002,0.81484375,0.958203125,0.32167968750000003,0.7103515625,47.34124279022217
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.007843137254901001,0.81484375,0.958203125,0.303125,0.6384765625000001,47.78252649307251
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.005882352941176,0.81484375,0.958203125,0.22734375,0.5994140625000001,47.506787061691284
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.001960784313725,0.81484375,0.958203125,0.19921875,0.6255859375,47.78579020500183
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.00392156862745,0.81484375,0.958203125,0.16875,0.5728515625,47.71660757064819
convnext_tiny,imagenet1k,CosPGD_alpha,Targeted,5,0.007843137254901001,0.0027450980392150002,0.81484375,0.958203125,0.166015625,0.5857421875000001,47.317137718200684
